Ok?,Discord Name (Example#9999) / Twitter Name (@Example1234),Nickname,Country,pfp,(Optional) Illustration Submission - .png or .psd files preferred,Original_Message,Translation
yes,T1stG#7707,T1stG,Singapore,Default.png,,Congratulations on 1st anniversary :D Love how close Neporabo are and hope to see more teetee moments in the future xD glad to have found hololive and hope there will be more fun times together ^-^,一周年おめでとう！:D　ねぽらぼはすごくてぇてぇなので 、ホロライブを見つけて感謝します！ｘＤ　これからもっとてぇてぇな楽しいことが祈っています！＾－＾
,@DivePart,Eternal DIVE PART II,,Default.png,,Congratulations on 1st anniversary of 5th Gen! Thank you for all the effort you have put in. Here's wishing you good luck for a bright and prosperous future. これからも頑張ってくださいね！私たちはいつもねぽらぼのみなさんを応援しています！いつも最高の配信をありがとう！！！,５期生の一周年おめでとうございます！頑張ってくれてありがとう！幸運がありますように祈ります！これからも頑張ってくださいね！私たちはいつもねぽらぼの皆さんの応援しています！いつも最高の配信をありがとう！
yes,Naki#4065,Naki,Vietnam,Default.png,,"Congratulations on 1st year anniversary, NePoLaBo! Thank you all 4 of you for being here, i'm really appreciated for all the fun and laugh that you 4 have gave us, i hope that we all can enjoy and have more fun with each other in this year, NePoLaBo are amazing!",ねぽらぼ、一周年おめでとう！四人そろってありがとうございます！楽しんだり、笑ったりして心から感謝します。これからもみんなともっと楽しい時がありますように。ねぽらぼはすごい！
yes,@1MiiSan,mii,United States of America,1pSvI-SEwoU7GB8Rehd7CTLszO0qvkr_u.png,,"Congratulations on an amazing year, NePoLaBo!
Watching you grow as a family has been so fun.
Thank you all for your hard work!",ねぽらぼ、この素敵な一周年おめでとう！家族みたいに成長するを見るとはすごく楽しいでした！頑張ってくれてありがとう！
yes,JexTexSSB#7742,Jex,United States of America,1_Ci1DC9Un9-vsBhSeH0dp5-CN8WB8dTF.png,,Congratulations on Hololive 5th Gen's anniversary! You are all so talented and amazing and fun to watch. Please continue to make entertaining streams and make us happy. Omedetou!,5期生一周年おめでとう！みんなを見るのは楽しくて、配信を見ると５期生の才能と素晴らしさをわかりやすいと思います！これからも楽しいな配信が続けますように！　おめでとう！
yes,@_Daemon___,Daemon - デイーモン,,1NhwD12JQcD8BwHmyNjRUurzF1dVQuewo.png,,Congratulations on the 1 year anniversary!!! I hope you all stay like a family and share in each others' happiness and sadness. おつねぽらぼ！,一周年おめでとうございます！５期生が嬉しくお祝いしたり、悩み相談したりして、家族らしく続けていいな～。おつねぽらぼ！
yes,Noxa#1391/@noxa_4,Noxa,United States of America,1fCEKfaQeJEt1JS5gNn01dC0L1TNjQguU.png,,"Congratulations on your 1st debut anniversary! You all have such unique and wonderful personalities that makes me smile everyday. From the bottom of my heart, thank you for all of the fun times.",一周年おめでとうございます！５期生のみんなはユニークで素敵な個性を持って、毎日笑顔になれる。心からたくさんの楽しい思い出を感謝します。
yes,AkoAyPayaso#6950,AkoAyPayaso,Philippines,1pItfr-tQYj_rlbmqQliVnX3dxhvx-RAx.png,,"Congratulations on your anniversary, NePoLaBo! It has been a very fruitful and meaningful year for all of you! All those collaborations, streams, and events are so much fun! Hope to see more in the future!",ねぽらぼ、一周年おめでとう！今年のことはうまくできましたね。コラボとか、配信とか、イベントとか、全ては楽しかったでしょ！これからもお楽しみます！
yes,Nyara#0267,Nyara,United States of America,1isPcFL_72-hueVvRffAEikuAIEhYoM3d.png,,"Congratulations on your first anniversary, NePoLaBo! It's been a rough path but you're here now and with a ton of fans that love you. I hope for the continued success of you all in 5th gen, and may we have many more years to come.",ねぽらぼ、一周年おめでとう！時々大変でしたが、今にはファンが多く、ここまで来ましたね。５期生の幸運を願っています！これからもよろしくお願いします！
yes,Badingading#8424,Badingading,United States of America,Default.png,,Congratulations on your first anniversary! NePoLaBo Forever!,一周年おめでとう！ねぽらぼフォーエバー！
